method,label,precision,recall,f1_score,support
baseline,toxic,0.2703,0.0033,0.0065,3034
baseline,severe_toxic,0.0493,1.0,0.094,320
baseline,obscene,0.3461,0.6739,0.4573,1653
baseline,insult,0.0,0.0,0.0,1559
baseline,identity_hate,0.0299,0.5573,0.0568,262
trained_base,toxic,0.8812,0.8728,0.877,3034
trained_base,severe_toxic,0.0,0.0,0.0,320
trained_base,obscene,0.7621,0.7907,0.7761,1653
trained_base,insult,0.6716,0.7056,0.6881,1559
trained_base,identity_hate,0.0,0.0,0.0,262
back_translation,toxic,0.8839,0.8804,0.8821,3034
back_translation,severe_toxic,0.0,0.0,0.0,320
back_translation,obscene,0.779,0.7441,0.7611,1653
back_translation,insult,0.6993,0.6652,0.6818,1559
back_translation,identity_hate,0.0,0.0,0.0,262
zero_shot,toxic,0.9258,0.5511,0.6909,3034
zero_shot,severe_toxic,0.0,0.0,0.0,320
zero_shot,obscene,0.8848,0.418,0.5678,1653
zero_shot,insult,0.5897,0.8416,0.6934,1559
zero_shot,identity_hate,0.0,0.0,0.0,262
synthetic_data,toxic,0.8438,0.9113,0.8762,3034
synthetic_data,severe_toxic,0.4167,0.0625,0.1087,320
synthetic_data,obscene,0.8204,0.735,0.7754,1653
synthetic_data,insult,0.5953,0.7755,0.6735,1559
synthetic_data,identity_hate,0.0,0.0,0.0,262
