method,label,precision,recall,f1_score,support
bce_weighted,toxic,0.9137,0.9634,0.9379,3034
bce_weighted,severe_toxic,0.6188,0.7,0.6569,320
bce_weighted,obscene,0.8702,0.9286,0.8984,1653
bce_weighted,insult,0.8115,0.8724,0.8408,1559
bce_weighted,identity_hate,0.7201,0.7366,0.7283,262
focal_loss,toxic,0.9323,0.9578,0.9449,3034
focal_loss,severe_toxic,0.6667,0.6562,0.6614,320
focal_loss,obscene,0.8896,0.9117,0.9005,1653
focal_loss,insult,0.8458,0.8339,0.8398,1559
focal_loss,identity_hate,0.812,0.7252,0.7661,262
